track,track_id,artist,album,release_date,total_tracks
Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,17,2017-08-25,11
MotorSport,4wFjTWCunQFKtukqrNijEt,Migos,Culture II,2018-01-26,24
Lo Que Te Amo,2IqNbflEkshezwf3F814H8,Crecer German,Hombre Afortunado (Deluxe),2017-01-20,21
Alone (Feat. Big Sean & Stefflon Don),3tbNT2X5tfMIVeUflYbZUZ,Halsey,Alone (Feat. Big Sean & Stefflon Don),2018-03-15,1
Quién Te Entiende,4OEIR3dxxcQAUQ6KZHA7l4,Crecer German,Quién Te Entiende,2016-05-06,1
Hombre Afortunado,3EHj4N0Kp0wX3RpPW6TJj5,Crecer German,Hombre Afortunado,2016-10-07,11
Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,Migos,Culture II,2018-01-26,24
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,beerbongs & bentleys,2018-04-27,18
Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,Halsey,hopeless fountain kingdom (Deluxe),2017-06-02,16
Shooters,6TrjaOqUwdKQ7KNxJr2s9Y,Tory Lanez,MEMORIES DON'T DIE,2018-03-02,18
Yikes,2r4JRwcbIeuAzWjH4YXlLs,Kanye West,ye,2018-06-01,7
Narcos,0wbnC9AUenxp613TYaJsGK,Migos,Culture II,2018-01-26,24
Stir Fry,2UVbBKQOdFAekPTRsnkzcf,Migos,Culture II,2018-01-26,24
You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,Calum Scott,Only Human (Deluxe),2018-03-09,14
If You Can't Hang,3ouugfdFz6exFXUxu7wRvD,Sleeping With Sirens,Let's Cheers To This,2011-05-10,11
"If I'm James Dean, You're Audrey Hepburn",1wFRkVclQWfMQQcaVLjmBE,Sleeping With Sirens,With Ears To See And Eyes To Hear,2010-03-22,10
Me Llamo Juan,01MVkQKVWo67kcZe1L8qN5,Adriel Favela,Me Llamo Juan,2017-03-24,1
The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,Tame Impala,Currents,2015-07-17,13
The Mack,2fUZ3aMp8amSaV0mp8s6rQ,Nevada,The Mack,2016-09-23,1
